見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
と,と,と,助詞,接続助詞,NIL,< 章なし >,0,82
考え,かんがえ,考える,動詞,*,代表表記:考える/かんがえる 補文ト,< 章なし >,0,82
合せて,あわせて,合せる,動詞,*,代表表記:合わせる/あわせる 反義:動詞:離す/はなす 自他動詞:自:合わさる/あわさる 付属動詞候補（基本）,< 章なし >,0,82
、,、,、,特殊,読点,NIL,< 章なし >,0,82
余りに,あまりに,余りだ,形容詞,*,代表表記:余りだ/あまりだ,< 章なし >,0,82
不自然で,ふしぜんで,不自然だ,形容詞,*,代表表記:不自然だ/ふしぜんだ,< 章なし >,0,82
は,は,は,助詞,副助詞,NIL,< 章なし >,0,82
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,82
でしょう,でしょう,だろう,助動詞,*,NIL,< 章なし >,0,82
か,か,か,助詞,終助詞,NIL,< 章なし >,0,82
。,。,。,特殊,句点,NIL,< 章なし >,0,82
日記,にっき,日記,名詞,普通名詞,代表表記:日記/にっき ドメイン:文化・芸術;家庭・暮らし カテゴリ:抽象物,< 章なし >,0,83
に,に,に,助詞,格助詞,NIL,< 章なし >,0,83
よれば,よれば,よる,動詞,*,代表表記:因る/よる,< 章なし >,0,83
、,、,、,特殊,読点,NIL,< 章なし >,0,83
当時,とうじ,当時,名詞,時相名詞,代表表記:当時/とうじ カテゴリ:時間,< 章なし >,0,83
弟,おとうと,弟,名詞,普通名詞,代表表記:弟/おとうと ドメイン:家庭・暮らし カテゴリ:人 漢字読み:訓,< 章なし >,0,83
は,は,は,助詞,副助詞,NIL,< 章なし >,0,83
旅行,りょこう,旅行,名詞,サ変名詞,代表表記:旅行/りょこう ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,83
を,を,を,助詞,格助詞,NIL,< 章なし >,0,83
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,83
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,83
ので,ので,のだ,助動詞,*,NIL,< 章なし >,0,83
も,も,も,助詞,副助詞,NIL,< 章なし >,0,83
なければ,なければ,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,83
、,、,、,特殊,読点,NIL,< 章なし >,0,83
あるいは,あるいは,あるいは,副詞,*,代表表記:あるいは/あるいは,< 章なし >,0,83
又,また,又,助詞,接続助詞,NIL,< 章なし >,0,83
、,、,、,特殊,読点,NIL,< 章なし >,0,83
筆,ふで,筆,名詞,普通名詞,代表表記:筆/ふで ドメイン:文化・芸術 カテゴリ:人工物-その他 漢字読み:訓,< 章なし >,0,83
も,も,も,助詞,副助詞,NIL,< 章なし >,0,83
とれ,とれ,とれる,動詞,*,代表表記:取れる/とれる 可能動詞:取る/とる 付属動詞候補（基本）,< 章なし >,0,83
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,83
程,ほど,程,名詞,副詞的名詞,代表表記:程/ほど,< 章なし >,0,83
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,83
病気,びょうき,病気,名詞,普通名詞,代表表記:病気/びょうき ドメイン:健康・医学 カテゴリ:抽象物,< 章なし >,0,83
を,を,を,助詞,格助詞,NIL,< 章なし >,0,83
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,< 章なし >,0,83
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,83
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,< 章なし >,0,83
で,で,だ,判定詞,*,NIL,< 章なし >,0,83
も,も,も,助詞,副助詞,NIL,< 章なし >,0,83
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,83
のです,のです,のだ,助動詞,*,NIL,< 章なし >,0,83
。,。,。,特殊,句点,NIL,< 章なし >,0,83
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,84
から,から,から,助詞,格助詞,NIL,< 章なし >,0,84
も,も,も,助詞,副助詞,NIL,< 章なし >,0,84
一,いち,一,名詞,数詞,カテゴリ:数量,< 章なし >,0,84
つ,つ,つ,接尾辞,名詞性名詞助数辞,代表表記:つ/つ 準内容語 連語由来,< 章なし >,0,84
は,は,は,助詞,副助詞,NIL,< 章なし >,0,84
、,、,、,特殊,読点,NIL,< 章なし >,0,84
雪枝,雪枝,雪枝,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,< 章なし >,0,84
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,< 章なし >,0,84
の,の,の,助詞,格助詞,NIL,< 章なし >,0,84
、,、,、,特殊,読点,NIL,< 章なし >,0,84
無意味な,むいみな,無意味だ,形容詞,*,代表表記:無意味だ/むいみだ,< 章なし >,0,84
文面,ぶんめん,文面,名詞,普通名詞,代表表記:文面/ぶんめん カテゴリ:抽象物,< 章なし >,0,84
だ,だ,だ,判定詞,*,NIL,< 章なし >,0,84
と,と,と,助詞,格助詞,NIL,< 章なし >,0,84
は,は,は,助詞,副助詞,NIL,< 章なし >,0,84
いえ,いえ,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,84
、,、,、,特殊,読点,NIL,< 章なし >,0,84
この,この,この,指示詞,連体詞形態指示詞,NIL,< 章なし >,0,84
頻繁な,ひんぱんな,頻繁だ,形容詞,*,代表表記:頻繁だ/ひんぱんだ,< 章なし >,0,84
文通,ぶんつう,文通,名詞,サ変名詞,代表表記:文通/ぶんつう ドメイン:レクリエーション カテゴリ:抽象物,< 章なし >,0,84
は,は,は,助詞,副助詞,NIL,< 章なし >,0,84
、,、,、,特殊,読点,NIL,< 章なし >,0,84
相手,あいて,相手,名詞,普通名詞,代表表記:相手/あいて カテゴリ:人 〜を〜に構成語,< 章なし >,0,84
が,が,が,助詞,格助詞,NIL,< 章なし >,0,84
若い,わかい,若い,形容詞,*,代表表記:若い/わかい,< 章なし >,0,84
男,おとこ,男,名詞,普通名詞,代表表記:男/おとこ カテゴリ:人 漢字読み:訓,< 章なし >,0,84
である,である,だ,判定詞,*,NIL,< 章なし >,0,84
丈,たけ,丈,名詞,普通名詞,代表表記:丈/たけ カテゴリ:数量 漢字読み:訓,< 章なし >,0,84
け,け,け,名詞,普通名詞,代表表記:毛/け カテゴリ:動物-部位 漢字読み:訓,< 章なし >,0,84
に,に,に,助詞,格助詞,NIL,< 章なし >,0,84
、,、,、,特殊,読点,NIL,< 章なし >,0,84
おかしく,おかしく,おかしい,形容詞,*,代表表記:おかしい/おかしい,< 章なし >,0,84
考えれば,かんがえれば,考える,動詞,*,代表表記:考える/かんがえる 補文ト,< 章なし >,0,84
考え,かんがえ,考える,動詞,*,代表表記:考える/かんがえる 補文ト,< 章なし >,0,84
られ,られ,られる,接尾辞,動詞性接尾辞,代表表記:られる/られる,< 章なし >,0,84
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,84
こと,こと,こと,名詞,形式名詞,NIL,< 章なし >,0,84
