見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
靴,くつ,靴,名詞,普通名詞,代表表記:靴/くつ ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:訓,< 章なし >,0,50
跡,あと,跡,名詞,普通名詞,代表表記:跡/あと カテゴリ:場所-その他;形・模様 漢字読み:訓,< 章なし >,0,50
以上,いじょう,以上,接尾辞,名詞性名詞接尾辞,代表表記:以上/いじょう,< 章なし >,0,50
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,50
もの,もの,もの,名詞,形式名詞,NIL,< 章なし >,0,50
が,が,が,助詞,格助詞,NIL,< 章なし >,0,50
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,< 章なし >,0,50
って,って,って,助詞,副助詞,NIL,< 章なし >,0,50
訳,やく,訳,名詞,普通名詞,代表表記:訳/やく ドメイン:文化・芸術 カテゴリ:抽象物 漢字読み:音,< 章なし >,0,50
だ,だ,だ,判定詞,*,NIL,< 章なし >,0,50
ね,ね,ね,助詞,終助詞,NIL,< 章なし >,0,50
」,」,」,特殊,括弧終,NIL,< 章なし >,0,50
正岡,まさおか,正岡,名詞,人名,人名:日本:姓:1321:0.00013,< 章なし >,0,50
警部,けいぶ,警部,名詞,普通名詞,代表表記:警部/けいぶ ドメイン:政治 カテゴリ:人 人名末尾,< 章なし >,0,50
が,が,が,助詞,格助詞,NIL,< 章なし >,0,50
先,さき,先,名詞,普通名詞,代表表記:先/さき カテゴリ:場所-機能;時間 漢字読み:訓,< 章なし >,0,50
廻り,まわり,廻り,名詞,普通名詞,代表表記:回り/まわりv 自他動詞:他:回す/まわす 連用形名詞化:回る/まわる 付属動詞候補（基本） 付属動詞候補（タ系）,< 章なし >,0,50
を,を,を,助詞,格助詞,NIL,< 章なし >,0,50
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,50
云う,いう,云う,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,50
。,。,。,特殊,句点,NIL,< 章なし >,0,50
「,「,「,特殊,括弧始,NIL,< 章なし >,0,51
そう,そう,そう,指示詞,副詞形態指示詞,NIL,< 章なし >,0,51
な,な,だ,判定詞,*,NIL,< 章なし >,0,51
んだ,んだ,んだ,助動詞,*,NIL,< 章なし >,0,51
。,。,。,特殊,句点,NIL,< 章なし >,0,51
マア,マア,マア,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,< 章なし >,0,52
、,、,、,特殊,読点,NIL,< 章なし >,0,52
来て,来て,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,< 章なし >,0,52
見,み,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,< 章なし >,0,52
給え,たまえ,給う,動詞,*,代表表記:給う/たまう 付属動詞候補（基本）,< 章なし >,0,52
」,」,」,特殊,括弧終,NIL,< 章なし >,0,52
四,よん,四,名詞,数詞,カテゴリ:数量,< 章なし >,0,52
人,にん,人,接尾辞,名詞性名詞助数辞,代表表記:人/にん カテゴリ:人 準内容語,< 章なし >,0,52
は,は,は,助詞,副助詞,NIL,< 章なし >,0,52
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,< 章なし >,0,52
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,52
足跡,あしあと,足跡,名詞,普通名詞,代表表記:足跡/あしあと カテゴリ:人工物-その他,< 章なし >,0,52
を,を,を,助詞,格助詞,NIL,< 章なし >,0,52
乱さ,みださ,乱す,動詞,*,代表表記:乱す/みだす 自他動詞:自:乱れる/みだれる,< 章なし >,0,52
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,52
為,ため,為,名詞,副詞的名詞,代表表記:為/ため,< 章なし >,0,52
に,に,に,助詞,格助詞,NIL,< 章なし >,0,52
、,、,、,特殊,読点,NIL,< 章なし >,0,52
それ,それ,それ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,52
と,と,と,助詞,格助詞,NIL,< 章なし >,0,52
並行,へいこう,並行,名詞,サ変名詞,代表表記:並行/へいこう カテゴリ:抽象物,< 章なし >,0,52
に,に,に,助詞,格助詞,NIL,< 章なし >,0,52
二三,二三,二三,名詞,数詞,カテゴリ:数量 未知語:数字,< 章なし >,0,52
間,かん,間,接尾辞,名詞性名詞接尾辞,代表表記:間/かん,< 章なし >,0,52
も,も,も,助詞,副助詞,NIL,< 章なし >,0,52
離れた,はなれた,離れる,動詞,*,代表表記:離れる/はなれる 反義:動詞:合う/あう 自他動詞:他:離す/はなす,< 章なし >,0,52
所,しょ,所,名詞,普通名詞,代表表記:所/しょ カテゴリ:場所-施設 漢字読み:音,< 章なし >,0,52
を,を,を,助詞,格助詞,NIL,< 章なし >,0,52
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,52
、,、,、,特殊,読点,NIL,< 章なし >,0,52
五十,五十,五十,名詞,地名,代表表記:五十/五十 地名:日本 DEV:prefix2,< 章なし >,0,52
米,べい,米,名詞,地名,代表表記:米/べい 地名:国:略称:米国,< 章なし >,0,52
程,ほど,程,接尾辞,名詞性名詞接尾辞,代表表記:程/ほど,< 章なし >,0,52
も,も,も,助詞,副助詞,NIL,< 章なし >,0,52
行く,いく,行く,動詞,*,代表表記:行く/いく ドメイン:交通 反義:動詞:帰る/かえる 付属動詞候補（タ系）,< 章なし >,0,52
と,と,と,助詞,格助詞,NIL,< 章なし >,0,52
、,、,、,特殊,読点,NIL,< 章なし >,0,52
往復,おうふく,往復,名詞,サ変名詞,代表表記:往復/おうふく カテゴリ:抽象物 反義:名詞-普通名詞:片道/かたみち,< 章なし >,0,52
二,に,二,名詞,数詞,カテゴリ:数量,< 章なし >,0,52
本,ほん,本,接尾辞,名詞性名詞助数辞,代表表記:本/ほん 準内容語,< 章なし >,0,52
の,の,の,助詞,接続助詞,NIL,< 章なし >,0,52
靴,くつ,靴,名詞,普通名詞,代表表記:靴/くつ ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:訓,< 章なし >,0,52
跡,あと,跡,名詞,普通名詞,代表表記:跡/あと カテゴリ:場所-その他;形・模様 漢字読み:訓,< 章なし >,0,52
は,は,は,助詞,副助詞,NIL,< 章なし >,0,52
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,52
で,で,で,助詞,格助詞,NIL,< 章なし >,0,52
パッタリ,ぱったり,パッタリ,副詞,*,代表表記:パッタリ/ぱったり スル接続可能,< 章なし >,0,52
途絶えて,とだえて,途絶える,動詞,*,代表表記:途絶える/とだえる,< 章なし >,0,52
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,52
。,。,。,特殊,句点,NIL,< 章なし >,0,52
と,と,と,助詞,格助詞,NIL,< 章なし >,0,53
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,< 章なし >,0,53
、,、,、,特殊,読点,NIL,< 章なし >,0,53
そこ,そこ,そこ,指示詞,名詞形態指示詞,NIL,< 章なし >,0,53
から,から,から,助詞,格助詞,NIL,< 章なし >,0,53
突然,とつぜん,突然だ,形容詞,*,代表表記:突然だ/とつぜんだ,< 章なし >,0,53
地面,じめん,地面,名詞,普通名詞,代表表記:地面/じめん カテゴリ:場所-その他,< 章なし >,0,53
が,が,が,助詞,格助詞,NIL,< 章なし >,0,53
固く,かたく,固い,形容詞,*,代表表記:堅い/かたい 反義:形容詞:柔らかい/やわらかい,< 章なし >,0,53
なって,なって,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,< 章なし >,0,53
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,53
ので,ので,のだ,助動詞,*,NIL,< 章なし >,0,53
は,は,は,助詞,副助詞,NIL,< 章なし >,0,53
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,53
。,。,。,特殊,句点,NIL,< 章なし >,0,53
若し,わかし,若い,形容詞,*,代表表記:若い/わかい,< 章なし >,0,54
犯人,はんにん,犯人,名詞,普通名詞,代表表記:犯人/はんにん ドメイン:政治 カテゴリ:人,< 章なし >,0,54
が,が,が,助詞,格助詞,NIL,< 章なし >,0,54
歩き,あるき,歩く,動詞,*,代表表記:歩く/あるく,< 章なし >,0,54
続けた,つづけた,続ける,動詞,*,代表表記:続ける/つづける 自他動詞:自:続く/つづく 付属動詞候補（基本）,< 章なし >,0,54
と,と,と,助詞,格助詞,NIL,< 章なし >,0,54
すれば,すれば,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,< 章なし >,0,54
、,、,、,特殊,読点,NIL,< 章なし >,0,54
必ず,かならず,必ず,副詞,*,代表表記:必ず/かならず,< 章なし >,0,54
足跡,あしあと,足跡,名詞,普通名詞,代表表記:足跡/あしあと カテゴリ:人工物-その他,< 章なし >,0,54
が,が,が,助詞,格助詞,NIL,< 章なし >,0,54
残って,のこって,残る,動詞,*,代表表記:残る/のこる 自他動詞:他:残す/のこす,< 章なし >,0,54
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,< 章なし >,0,54
なければ,なければ,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,< 章なし >,0,54
なら,なら,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,< 章なし >,0,54
ぬ,ぬ,ぬ,助動詞,*,NIL,< 章なし >,0,54
