見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
に,に,に,助詞,格助詞,NIL,0,13
も,も,も,助詞,副助詞,NIL,0,13
例,れい,例,名詞,普通名詞,代表表記:例/れい カテゴリ:抽象物 漢字読み:音,0,13
が,が,が,助詞,格助詞,NIL,0,13
ない,ない,ない,形容詞,*,代表表記:無い/ない 反義:動詞:有る/ある,0,13
（,（,（,特殊,括弧始,NIL,0,13
これ,これ,これ,指示詞,名詞形態指示詞,NIL,0,13
は,は,は,助詞,副助詞,NIL,0,13
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,13
小説,しょうせつ,小説,名詞,普通名詞,代表表記:小説/しょうせつ ドメイン:文化・芸術 カテゴリ:抽象物,0,13
の,の,の,助詞,接続助詞,NIL,0,13
場合,ばあい,場合,名詞,副詞的名詞,代表表記:場合/ばあい,0,13
）,）,）,特殊,括弧終,NIL,0,13
。,。,。,特殊,句点,NIL,0,13
英国,えいこく,英国,名詞,地名,代表表記:英国/えいこく 地名:国,0,14
の,の,の,助詞,接続助詞,NIL,0,14
コナン,こなん,コナン,名詞,人名,人名:外国,0,14
・,・,・,特殊,記号,NIL,0,14
ドイル,どいる,ドイル,名詞,人名,人名:外国,0,14
（,（,（,特殊,括弧始,NIL,0,14
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,0,14
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,0,14
シャーロック,シャーロック,シャーロック,名詞,普通名詞,自動獲得:Wikipedia Wikipedia多義,0,14
・,・,・,特殊,記号,NIL,0,14
ホームズ,ほーむず,ホームズ,名詞,人名,人名:外国,0,14
物語,ものがたり,物語,名詞,サ変名詞,代表表記:物語/ものがたり ドメイン:文化・芸術 カテゴリ:抽象物,0,14
の,の,の,助詞,接続助詞,NIL,0,14
作者,さくしゃ,作者,名詞,普通名詞,代表表記:作者/さくしゃ ドメイン:文化・芸術 カテゴリ:人,0,14
）,）,）,特殊,括弧終,NIL,0,14
が,が,が,助詞,格助詞,NIL,0,14
相当,そうとう,相当だ,形容詞,*,代表表記:相当だ/そうとうだ,0,14
書いて,かいて,書く,動詞,*,代表表記:書く/かく 補文ト,0,14
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,14
ようで,ようで,ようだ,助動詞,*,NIL,0,14
、,、,、,特殊,読点,NIL,0,14
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,0,14
で,で,で,助詞,格助詞,NIL,0,14
六十,六十,六十,名詞,数詞,カテゴリ:数量 未知語:数字,0,14
篇,へん,篇,名詞,普通名詞,代表表記:編/へん カテゴリ:抽象物 漢字読み:音,0,14
くらい,くらい,くらい,助詞,副助詞,代表表記:くらい/くらい,0,14
の,の,の,助詞,接続助詞,NIL,0,14
もの,もの,もの,名詞,形式名詞,NIL,0,14
だ,だ,だ,判定詞,*,NIL,0,14
し,し,し,助詞,接続助詞,NIL,0,14
、,、,、,特殊,読点,NIL,0,14
