見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
日曜日,にちようび,日曜日,名詞,時相名詞,代表表記:日曜日/にちようび カテゴリ:時間,きもだめしの会,0,5
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,5
ほか,ほか,ほか,名詞,副詞的名詞,代表表記:他/ほか,きもだめしの会,0,5
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,5
、,、,、,特殊,読点,NIL,きもだめしの会,0,5
すこし,すこし,すこし,副詞,*,代表表記:少し/すこし 修飾（デ格） 用言弱修飾 相対名詞修飾,きもだめしの会,0,5
の,の,の,助詞,接続助詞,NIL,きもだめしの会,0,5
時間,じかん,時間,名詞,時相名詞,代表表記:時間/じかん カテゴリ:時間,きもだめしの会,0,5
しか,しか,しか,助詞,副助詞,NIL,きもだめしの会,0,5
、,、,、,特殊,読点,NIL,きもだめしの会,0,5
はたらけ,はたらけ,はたらける,動詞,*,代表表記:働ける/はたらける 可能動詞:働く/はたらく ドメイン:家庭・暮らし;ビジネス,きもだめしの会,0,5
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,5
のです,のです,のだ,助動詞,*,NIL,きもだめしの会,0,5
。,。,。,特殊,句点,NIL,きもだめしの会,0,5
ことに,ことに,ことに,副詞,*,代表表記:殊に/ことに 用言弱修飾,きもだめしの会,0,6
、,、,、,特殊,読点,NIL,きもだめしの会,0,6
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,きもだめしの会,0,6
そと,そと,そと,名詞,普通名詞,代表表記:外/そと カテゴリ:場所-機能 漢字読み:訓,きもだめしの会,0,6
へ,へ,へ,助詞,格助詞,NIL,きもだめしの会,0,6
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,きもだめしの会,0,6
冒険,ぼうけん,冒険,名詞,サ変名詞,代表表記:冒険/ぼうけん カテゴリ:抽象物,きもだめしの会,0,6
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,6
する,する,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,6
こと,こと,こと,名詞,形式名詞,NIL,きもだめしの会,0,6
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,6
、,、,、,特殊,読点,NIL,きもだめしの会,0,6
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,きもだめしの会,0,6
とうさん,とうさん,とうさん,名詞,サ変名詞,代表表記:倒産/とうさん ドメイン:ビジネス カテゴリ:抽象物,きもだめしの会,0,6
や,や,や,助詞,接続助詞,NIL,きもだめしの会,0,6
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,きもだめしの会,0,6
かあさん,かあさん,かあさん,名詞,普通名詞,代表表記:母さん/かあさん ドメイン:家庭・暮らし カテゴリ:人,きもだめしの会,0,6
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,6
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,きもだめしの会,0,6
ゆるし,ゆるし,ゆるし,名詞,普通名詞,代表表記:許し/ゆるしv 連用形名詞化:許す/ゆるす,きもだめしの会,0,6
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,6
なら,なら,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,きもだめしの会,0,6
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,6
うち,うち,うち,名詞,副詞的名詞,代表表記:うち/うち,きもだめしの会,0,6
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,6
おおい,おおい,おおい,形容詞,*,代表表記:多い/おおい 反義:形容詞:少ない/すくない,きもだめしの会,0,6
ので,ので,のだ,助動詞,*,NIL,きもだめしの会,0,6
、,、,、,特殊,読点,NIL,きもだめしの会,0,6
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,きもだめしの会,0,6
団長,だんちょう,団長,名詞,普通名詞,代表表記:団長/だんちょう カテゴリ:人 人名末尾,きもだめしの会,0,6
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,6
、,、,、,特殊,読点,NIL,きもだめしの会,0,6
団員,だんいん,団員,名詞,普通名詞,代表表記:団員/だんいん カテゴリ:人,きもだめしの会,0,6
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,きもだめしの会,0,6
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,6
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,きもだめしの会,0,6
あつめる,あつめる,あつめる,動詞,*,代表表記:集める/あつめる 自他動詞:自:集まる/あつまる,きもだめしの会,0,6
こと,こと,こと,名詞,形式名詞,NIL,きもだめしの会,0,6
は,は,は,助詞,副助詞,NIL,きもだめしの会,0,6
、,、,、,特殊,読点,NIL,きもだめしの会,0,6
できる,できる,できる,動詞,*,代表表記:出来る/できる,きもだめしの会,0,6
だけ,だけ,だけ,助詞,副助詞,NIL,きもだめしの会,0,6
し,し,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,6
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,きもだめしの会,0,6
ように,ように,ようだ,助動詞,*,NIL,きもだめしの会,0,6
して,して,する,接尾辞,動詞性接尾辞,代表表記:する/する,きもだめしの会,0,6
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,きもだめしの会,0,6
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,きもだめしの会,0,6
。,。,。,特殊,句点,NIL,きもだめしの会,0,6
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,きもだめしの会,0,7
ゆるし,ゆるし,ゆるし,名詞,普通名詞,代表表記:許し/ゆるしv 連用形名詞化:許す/ゆるす,きもだめしの会,0,7
が,が,が,助詞,格助詞,NIL,きもだめしの会,0,7
でた,でた,でる,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,きもだめしの会,0,7
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,きもだめしの会,0,7
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,きもだめしの会,0,7
だけ,だけ,だけ,助詞,副助詞,NIL,きもだめしの会,0,7
を,を,を,助詞,格助詞,NIL,きもだめしの会,0,7
、,、,、,特殊,読点,NIL,きもだめしの会,0,7
七,なな,七,名詞,数詞,カテゴリ:数量,きもだめしの会,0,7
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,きもだめしの会,0,7
か,か,か,助詞,接続助詞,NIL,きもだめしの会,0,7
八,はち,八,名詞,数詞,カテゴリ:数量,きもだめしの会,0,7
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,きもだめしの会,0,7
ごろ,ごろ,ごろ,接尾辞,名詞性名詞接尾辞,代表表記:頃/ころ,きもだめしの会,0,7
まで,まで,まで,助詞,格助詞,NIL,きもだめしの会,0,7
集める,あつめる,集める,動詞,*,代表表記:集める/あつめる 自他動詞:自:集まる/あつまる,きもだめしの会,0,7
こと,こと,こと,名詞,形式名詞,NIL,きもだめしの会,0,7
に,に,に,助詞,格助詞,NIL,きもだめしの会,0,7
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,きもだめしの会,0,7
、,、,、,特殊,読点,NIL,きもだめしの会,0,7
それ,それ,それ,指示詞,名詞形態指示詞,NIL,きもだめしの会,0,7
いじょう,いじょう,いじょう,名詞,サ変名詞,代表表記:委譲/いじょう ドメイン:政治 カテゴリ:抽象物,きもだめしの会,0,7
