見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
ふうせん,ふうせん,ふうせん,名詞,普通名詞,代表表記:風船/ふうせん カテゴリ:人工物-その他,8,20
だ,だ,だ,判定詞,*,NIL,8,20
よ,よ,よ,助詞,終助詞,NIL,8,20
」,」,」,特殊,括弧終,NIL,8,20
。,。,。,特殊,句点,NIL,8,20
はじめ,はじめ,はじめ,名詞,時相名詞,代表表記:初め/はじめ カテゴリ:時間,8,21
は,は,は,助詞,副助詞,NIL,8,21
黒く,くろく,黒い,形容詞,*,代表表記:黒い/くろい 名詞派生:黒/くろ,8,21
見えて,みえて,見える,動詞,*,代表表記:見える/みえる 自他動詞:他:見る/みる,8,21
いた,いた,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,8,21
の,の,の,名詞,形式名詞,NIL,8,21
が,が,が,助詞,格助詞,NIL,8,21
、,、,、,特殊,読点,NIL,8,21
大きく,おおきく,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,8,21
なる,なる,なる,接尾辞,動詞性接尾辞,代表表記:なる/なる,8,21
に,に,に,助詞,格助詞,NIL,8,21
したがって,したがって,したがう,動詞,*,代表表記:従う/したがう 自他動詞:他:従える/したがえる,8,21
、,、,、,特殊,読点,NIL,8,21
銀色,ぎんいろ,銀色,名詞,普通名詞,代表表記:銀色/ぎんいろ カテゴリ:色,8,21
に,に,に,助詞,格助詞,NIL,8,21
光って,ひかって,光る,動詞,*,代表表記:光る/ひかる 名詞派生:光/ひかり,8,21
きた,きた,くる,接尾辞,動詞性接尾辞,代表表記:くる/くる,8,21
のです,のです,のだ,助動詞,*,NIL,8,21
。,。,。,特殊,句点,NIL,8,21
「,「,「,特殊,括弧始,NIL,8,22
アドバルーン,アドバルーン,アドバルーン,名詞,普通名詞,自動獲得:Wikipedia,8,22
だ,だ,だ,判定詞,*,NIL,8,22
。,。,。,特殊,句点,NIL,8,22
あれ,あれ,あれ,指示詞,名詞形態指示詞,NIL,8,23
、,、,、,特殊,読点,NIL,8,23
アドバルーン,アドバルーン,アドバルーン,名詞,普通名詞,自動獲得:Wikipedia,8,23
