見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
まげて,まげて,まげる,動詞,*,代表表記:曲げる/まげる 反義:動詞:伸ばす/のばす 自他動詞:自:曲がる/まがる,3,92
、,、,、,特殊,読点,NIL,3,92
うずくまり,うずくまり,うずくまる,動詞,*,代表表記:蹲る/うずくまる,3,92
、,、,、,特殊,読点,NIL,3,92
まえ,まえ,まえ,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,3,92
足,あし,足,名詞,普通名詞,代表表記:足/あし カテゴリ:動物-部位 漢字読み:訓,3,92
を,を,を,助詞,格助詞,NIL,3,92
グッと,ぐっと,グッと,副詞,*,代表表記:グッと/ぐっと スル接続可能,3,92
立てて,たてて,立てる,動詞,*,代表表記:立てる/たてる 自他動詞:自:立つ/たつ 付属動詞候補（基本）,3,92
、,、,、,特殊,読点,NIL,3,92
空,から,空,名詞,普通名詞,代表表記:空/から カテゴリ:抽象物 漢字読み:訓,3,92
に,に,に,助詞,格助詞,NIL,3,92
むかって,むかって,むかう,動詞,*,代表表記:向かう/むかう,3,92
、,、,、,特殊,読点,NIL,3,92
ウオー,ウオー,ウオー,未定義語,カタカナ,未知語:カタカナ 品詞推定:名詞,3,92
と,と,と,助詞,格助詞,NIL,3,92
うなって,うなって,うなる,動詞,*,代表表記:唸る/うなる,3,92
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,3,92
、,、,、,特殊,読点,NIL,3,92
高,たか,高い,形容詞,*,代表表記:高い/たかい 反義:形容詞:安い/やすい;形容詞:低い/ひくい,3,92
さ,さ,さ,接尾辞,名詞性述語接尾辞,代表表記:さ/さ カテゴリ:抽象物;数量 準内容語,3,92
十,じゅう,十,名詞,数詞,カテゴリ:数量,3,92
センチ,せんち,センチ,接尾辞,名詞性名詞助数辞,代表表記:センチ/せんち 準内容語,3,92
ほど,ほど,ほど,接尾辞,名詞性名詞接尾辞,代表表記:程/ほど,3,92
の,の,の,助詞,格助詞,NIL,3,92
置き,おき,置き,名詞,普通名詞,代表表記:置き/おきv 連用形名詞化:置く/おく,3,92
もの,もの,もの,名詞,普通名詞,代表表記:物/もの カテゴリ:人工物-その他 漢字読み:訓,3,92
でした,でした,だ,判定詞,*,NIL,3,92
。,。,。,特殊,句点,NIL,3,92
「,「,「,特殊,括弧始,NIL,3,93
これ,これ,これ,指示詞,名詞形態指示詞,NIL,3,93
は,は,は,助詞,副助詞,NIL,3,93
純金,じゅんきん,純金,名詞,普通名詞,代表表記:純金/じゅんきん カテゴリ:人工物-金銭,3,93
で,で,で,助詞,格助詞,NIL,3,93
できて,できて,できる,動詞,*,代表表記:出来る/できる,3,93
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,3,93
。,。,。,特殊,句点,NIL,3,93
目,め,目,名詞,普通名詞,代表表記:目/め カテゴリ:動物-部位 漢字読み:訓,3,94
に,に,に,助詞,格助詞,NIL,3,94
は,は,は,助詞,副助詞,NIL,3,94
ダイヤ,だいや,ダイヤ,名詞,普通名詞,代表表記:ダイヤ/だいや カテゴリ:自然物;抽象物;形・模様,3,94
が,が,が,助詞,格助詞,NIL,3,94
いれて,いれて,いれる,動詞,*,代表表記:入れる/いれる 反義:動詞:出す/だす 自他動詞:自:入る/はいる,3,94
ある,ある,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,3,94
。,。,。,特殊,句点,NIL,3,94
何千万,何千万,何千万,名詞,数詞,カテゴリ:数量 未知語:数字,3,95
円,えん,円,接尾辞,名詞性名詞助数辞,代表表記:円/えん 準内容語,3,95
と,と,と,助詞,格助詞,NIL,3,95
いう,いう,いう,動詞,*,代表表記:言う/いう 補文ト,3,95
、,、,、,特殊,読点,NIL,3,95
わし,わし,わし,名詞,普通名詞,代表表記:わし/わし カテゴリ:人,3,95
の,の,の,助詞,接続助詞,NIL,3,95
うち,うち,うち,名詞,副詞的名詞,代表表記:うち/うち,3,95
の,の,の,助詞,接続助詞,NIL,3,95
